Crop type,Corn,Corn,Corn,Corn,Corn,Corn,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Soybeans,Soybeans,Soybeans,Soybeans,Soybeans,Soybeans,Sorghum,Sorghum,Sorghum,Sorghum,Sorghum,Sorghum
Irrigation_System,Irrigated,Irrigated,Irrigated,Dryland,Dryland,Dryland,Irrigated,Irrigated,Irrigated,Dryland,Dryland,Dryland,Irrigated,Irrigated,Irrigated,Dryland,Dryland,Dryland,Irrigated,Irrigated,Irrigated,Dryland,Dryland,Dryland
Yield,Low (<210),Moderate (210-237.5),High (>237.5),Low (<66),Moderate (66-91),High (>91),Low (<62.5),Moderate (62.5-67.5),High (>67.5),Low (<37.5),Moderate (37.5-46.5),High (>46.5),Low (<58),Moderate (58-64),High (>64),Low (<22.5),Moderate (22.5-27.5),High (>27.5),Low (<150),Moderate (150-170),High (>170),Low (<68),Moderate (68-93),High (>93)
Seed,103.51,119.43,132.7,25.6,41.98,51.19,20.56,22.28,23.99,12.64,16.09,19.53,45.52,50.49,55.46,32.31,40.39,48.47,11.36,12.98,14.6,4.96,7.31,9.47
Fertilizer,91.14,105.16,116.84,22.5,36.9,45,45.3,49.07,52.85,18.78,23.9,29.03,17.84,19.78,21.73,6.64,8.3,9.97,66.18,75.63,85.09,25.47,37.51,48.63
Herbicides_Burndown,8.46,8.46,8.46,20.52,20.52,20.52,0,0,0,12.87,12.87,12.87,3.21,3.21,3.21,10.26,10.26,10.26,8.46,8.46,8.46,20.52,20.52,20.52
Herbicides_Pre-emergence,46.96,46.96,46.96,42.54,42.54,42.54,6.4,6.4,6.4,1.99,1.99,1.99,28.76,28.76,28.76,32.25,32.25,32.25,39.83,39.83,39.83,39.83,39.83,39.83
Herbicides_Post-emergence,1.61,1.61,1.61,4.53,4.53,4.53,0,0,0,0,0,0,3.21,3.21,3.21,3.21,3.21,3.21,0,0,0,3.64,3.64,3.64
Fungicides,6.28,6.28,6.28,0,0,0,7.85,7.85,7.85,3.85,3.85,3.85,0,0,0,0,0,0,0,0,0,0,0,0
Insecticides,16.5,16.5,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crop consulting,6.5,6.5,6.5,0,0,0,6,6,6,0,0,0,6.25,6.25,6.25,0,0,0,6.25,6.25,6.25,0,0,0
Planting,18.21,18.21,18.21,18.59,18.59,18.59,17.33,17.33,17.33,14.73,14.73,14.73,18.69,18.69,18.69,18.69,18.69,18.69,18.57,18.57,18.57,18,18,18
Fertilizer application,0,0,0,5.6,5.6,5.6,5.6,5.6,5.6,15.98,15.98,15.98,0,0,0,0,0,0,0,0,0,5.6,5.6,5.6
Tillage,17.55,17.55,17.55,0,0,0,0,0,0,22.5,22.5,22.5,13.12,13.12,13.12,0,0,0,17.55,17.55,17.55,0,0,0
Spraying,22.38,22.38,22.38,20.57,20.57,20.57,11.79,11.79,11.79,20.59,20.59,20.59,17.63,17.63,17.63,17.63,17.63,17.63,11.76,11.76,11.76,19.1,19.1,19.1
Base harvesting,29.3,29.3,29.3,29.3,29.3,29.3,24.19,24.19,24.19,24.19,24.19,24.19,29.78,29.78,29.78,29.78,29.78,29.78,25.92,25.92,25.92,25.92,25.92,25.92
Extra harvest charge,29.29,36.68,42.83,0,1.48,5.91,9.46,10.67,11.88,2.91,5.09,7.27,7.01,8.63,10.25,0,0,0,22.88,27.7,32.52,2.41,8.67,14.45
Hauling,36.81,42.47,47.19,9.44,15.48,18.87,13.93,15.09,16.25,7.66,9.75,11.84,13.17,14.61,16.05,4.79,5.99,7.19,32.73,37.41,42.08,12.86,18.94,24.55
Drying and other,8.78,10.13,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,9.6,10.8,0,0,0
Crop insurance,17.6,20.31,22.57,5.1,8.36,10.2,21.87,23.7,25.52,10.17,12.94,15.72,19.69,21.84,23.99,6.29,7.87,9.44,27.53,31.46,35.39,12.44,18.33,23.76
Labor,27.6,27.6,27.6,22.5,22.5,22.5,22.8,22.8,22.8,7.5,7.5,7.5,24.6,24.6,24.6,7.5,7.5,7.5,25.2,25.2,25.2,22.5,22.5,22.5
Miscellaneous,10,10,10,5.5,5.5,5.5,10,10,10,5.5,5.5,5.5,10,10,10,5.5,5.5,5.5,10,10,10,5.5,5.5,5.5
Other variable expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest on variable expenses,16.17,17.93,19.28,6.97,8.22,9.02,7.3,7.76,8.23,5.46,5.92,6.39,8.65,9.19,10.26,5.25,5.62,6,10.97,11.92,12.87,6.56,7.54,8.44
Irrig_Natural gas,35.09,46.79,52.64,0,0,0,17.55,23.39,29.24,0,0,0,26.32,32.17,55.56,0,0,0,29.24,35.09,40.94,0,0,0
Irrig_Repair and maintenance,5.28,5.28,5.28,0,0,0,2.64,2.64,2.64,0,0,0,3.63,3.63,3.63,0,0,0,3.96,3.96,3.96,0,0,0
Irrig_Depreciation,76.67,76.67,76.67,0,0,0,76.67,76.67,76.67,0,0,0,76.67,76.67,76.67,0,0,0,76.67,76.67,76.67,0,0,0
Irrig_Interest on irrig equip,59.22,59.22,59.22,0,0,0,59.22,59.22,59.22,0,0,0,59.22,59.22,59.22,0,0,0,59.22,59.22,59.22,0,0,0
Cash rent,95.33,110,122.22,33.84,55.5,67.68,111.69,121,130.31,58.14,74,89.86,109.1,121,132.9,44.4,55.5,66.6,105.88,121,136.13,37.69,55.5,71.94